resource,count
ig-r4,156
README.md,18
-list,13
gitignor,8
StructureDefinition-Patient,8
StructureDefinition-be-practitionerrole,5
StructureDefinition-Practitioner,5
StructureDefinition-be-practitioner,5
Library-FHIR-ModelInf,5
StructureDefinition-be-patient,5
StructureDefinition-profile-medicationrequest,4
Bundle-h1,4
StructureDefinition-profile-servicerequest,4
StructureDefinition-profile-practitioner,4
StructureDefinition-be-addre,4
StructureDefinition-be-allergyintolerance,4
StructureDefinition-be-organizati,4
StructureDefinition-CodeableConcept,4
StructureDefinition-Organizati,4
StructureDefinition-Identifier,4
StructureDefinition-profile-encounter,4
CodeSystem-extended-content-code,4
StructureDefinition-Addre,4
Library-FHIRHelper,4
StructureDefinition-be-observationcodeableconcept,3
StructureDefinition-PractitionerRole,3
StructureDefinition-politic-affiliati,3
StructureDefinition-be-observati,3
Patient-ex-patient,3
ValueSet-2.16.840.1.113762.1.4.1108.15,3
StructureDefinition-sexual-distinction-of-huma,3
StructureDefinition-Nationality,3
StructureDefinition-hospital-bed,3
StructureDefinition-laboratory-request,3
StructureDefinition-date-start-work,3
StructureDefinition-Coding,3
StructureDefinition-is-work-for-multi-org,3
StructureDefinition-profile-patient,3
StructureDefinition-profile-device,3
StructureDefinition-inspect-request,3
StructureDefinition-profile-organizati,3
StructureDefinition-Period,3
StructureDefinition-ChineseName,3
StructureDefinition-ChineseEthnicity,3
StructureDefinition-profile-locati,3
StructureDefinition-Annotati,3
ValueSet-service-type-v,3
StructureDefinition-outpatient-registration-source,3
StructureDefinition-outpatient-slot,3
StructureDefinition-BriefIntroducti,3
ValueSet-birthsex,3
StructureDefinition-outpatient-consultation-room,3
StructureDefinition-ContactPoint,3
StructureDefinition-Reference,3
StructureDefinition-organization-picture,3
StructureDefinition-outpatient-schedule,3
StructureDefinition-Quantity,3
StructureDefinition-Department,3
StructureDefinition-medical-record-documentati,3
fig,3
StructureDefinition-Hospital,3
StructureDefinition-laboratory-report,2
StructureDefinition-laboratory-specime,2
StructureDefinition-reminder,2
StructureDefinition-request-intent,2
StructureDefinition-medcom-core-patient,2
StructureDefinition-long-term-conditi,2
ValueSet-currentsmoker,2
StructureDefinition-laboratory-routine-observati,2
StructureDefinition-Diagnose,2
ValueSet-hospitallevel-v,2
StructureDefinition-registration-status-code,2
StructureDefinition-registration-initial-date,2
StructureDefinition-registrated-response,2
StructureDefinition-medcom-messaging-destinationUseExtensi,2
ValueSet-hierarchy-kind-v,2
StructureDefinition-who-cr-locati,2
StructureDefinition-medcom-messaging-message,2
StructureDefinition-inspect-report,2
StructureDefinition-medcom-messaging-messageHeader,2
StructureDefinition-medcom-messaging-organizati,2
StructureDefinition-information-source,2
CodeSystem-temp,2
StructureDefinition-medicare-payment,2
StructureDefinition-ChargeItem,2
StructureDefinition-scope-of-practice,2
StructureDefinition-medcom-core-organizati,2
StructureDefinition-mcode-cancer-disease-statu,2
StructureDefinition-mcode-genomic-region-studied,2
StructureDefinition-cdc-observati,2
MessageDefinition-cancel-patient-referral,2
StructureDefinition-mcode-ecog-performance-statu,2
StructureDefinition-mcode-evidence-type,2
StructureDefinition-mcode-secondary-cancer-conditi,2
StructureDefinition-mcode-genetic-specime,2
StructureDefinition-mcode-histology-morphology-behavior,2
StructureDefinition-cdc-valueset,2
StructureDefinition-mcode-karnofsky-performance-statu,2
ValueSet-request-priority-v,2
ValueSet-request-status-v,2
StructureDefinition-cdc-requestgroup,2
StructureDefinition-who-cr-observation-symptom,2
StructureDefinition-mcode-primary-cancer-conditi,2
StructureDefinition-cdc-medicationrequest,2
StructureDefinition-cdc-carepla,2
SearchParameter-practitionerrole-practitioner,2
StructureDefinition-mcode-cancer-related-surgical-procedure,2
StructureDefinition-building-name,2
SearchParameter-practitionerrole-organizati,2
ValueSet-current-medications-value,2
StructureDefinition-mcode-treatment-intent,2
StructureDefinition-ContactDetail,2
CodeSystem-us-ph-triggerdefinition-namedevent,2
Library-library-FHIRHelper,2
StructureDefinition-mcode-cancer-patient,2
StructureDefinition-mcode-cancer-genomics-report,2
StructureDefinition-resource-statu,2
StructureDefinition-mcode-cancer-genetic-variant,2
StructureDefinition-medcom-core-encounter,2
StructureDefinition-request-priority,2
ValueSet-request-intent-v,2
