package_name,status,dependencies,resources
PCSPImplementationGuide.tgz,passed,hl7.fhir.r4.core; hl7.fhir.uv.ips,ig-r4; ImplementationGuide-hl7.eu.fhir.pscp; StructureDefinition-SurvivorshipPassport; StructureDefinition-TreatmentSummary; StructureDefinition-Subject; StructureDefinition-Patient-eu-pcsp
NSWHealthTOCImplementationGuide.tgz,missing mandatory manifest key,,
AffiliateIG.tgz,passed,hl7.fhir.r4.core; ehealthplatform.be.r4.federalprofiles,ig-r4; ImplementationGuide-hl7.country.fhir.ig; CarePlan-gpvisit; Patient-patient1; ServiceRequest-laboratory-order-example1; ServiceRequest-diagnostic-imaging-basic-example-everything-contained; ServiceRequest-diagnostic-imaging-basic-example-concreteWithDetail; ServiceRequest-nursing-compression-therapy-example; ServiceRequest-diagnostic-imaging-basic-example-concreteWithText; Practitioner-practitioner1; ServiceRequest-diagnostic-imaging-basic-example-useOfModality; Condition-condition1; StructureDefinition-be-model-physiotherapyprescripti; StructureDefinition-be-model-diagnosticimagingprescripti; StructureDefinition-be-model-referralprescripti; StructureDefinition-be-model-laboratoryprescripti; StructureDefinition-be-model-nursingprescripti; StructureDefinition-be-referralprescription-nursing-compressiontherapy; StructureDefinition-be-ext-inform-party; StructureDefinition-be-addre; StructureDefinition-be-ext-supporting-inf; StructureDefinition-be-practitioner; StructureDefinition-be-observationcodeableconcept; StructureDefinition-be-patient; StructureDefinition-be-ext-contrastfluiduse; StructureDefinition-be-referralprescription-nursing; StructureDefinition-be-lab-prescripti; StructureDefinition-be-organizati; StructureDefinition-be-questionnaireresponse; StructureDefinition-be-referralprescripti; StructureDefinition-be-referralprescription-nursing-probe; StructureDefinition-be-ext-contraindicati; StructureDefinition-be-referralprescription-diagnosticimaging; StructureDefinition-be-questionnaire; StructureDefinition-be-observati; Questionnaire-be-nursing-probe; StructureDefinition-be-practitionerrole; StructureDefinition-be-ext-urgent-communicati; NamingSystem-be-ns-coronalertcode; ValueSet-be-contrastfluid-use; NamingSystem-be-ns-specime; CodeSystem-be-nursing-code; ValueSet-be-vs-type-of-probe; CodeSystem-be-contrastfluid-use; ValueSet-be-communication-method; ValueSet-be-referral-category; ValueSet-be-reason-referral-statu; CodeSystem-codesystem-be-type-of-probe; CodeSystem-be-status-rea; NamingSystem-be-ns-uhmep; CodeSystem-be-nursing-code-compressiontherapy; CodeSystem-be-communication-code
Resource Reservation Scheduling IG.tgz,passed,hl7.fhir.r4.core,ig-r4; ImplementationGuide-Resource-Reservation-Scheduling-IG; StructureDefinition-inspect-report; StructureDefinition-organization-picture; StructureDefinition-outpatient-slot; StructureDefinition-Diagnose; StructureDefinition-ChineseEthnicity; StructureDefinition-hospital-bed; StructureDefinition-degree-of-educati; StructureDefinition-encounter-hospitalized; StructureDefinition-medical-record-documentati; StructureDefinition-person-statu; StructureDefinition-chief-complaint; StructureDefinition-Nationality; StructureDefinition-hospital-referral-response; StructureDefinition-iaboratory-report; StructureDefinition-laboratory-report; StructureDefinition-SimpleQuantity; StructureDefinition-inspect-request; StructureDefinition-BriefIntroducti; StructureDefinition-source-number; StructureDefinition-Department; StructureDefinition-UsageContext; StructureDefinition-laboratory-routine-observati; StructureDefinition-participation-statu; StructureDefinition-PractitionerRole; StructureDefinition-Per; StructureDefinition-sexual-distinction-of-huma; StructureDefinition-Occupati; StructureDefinition-service-area; StructureDefinition-AcademicQualificati; StructureDefinition-Practitioner; StructureDefinition-Reference; StructureDefinition-Identifier; StructureDefinition-ContactDetail; StructureDefinition-Coding; StructureDefinition-outpatient-registration-source; StructureDefinition-outpatient-consultation-room; StructureDefinition-previous-history; StructureDefinition-Locati; StructureDefinition-resource-statu; StructureDefinition-Quantity; StructureDefinition-CodeableConcept; StructureDefinition-hospital-referral; StructureDefinition-Media; StructureDefinition-registrated-response; StructureDefinition-ContactPoint; StructureDefinition-Annotati; StructureDefinition-encounter-outpatient; StructureDefinition-Attachment; StructureDefinition-MedicalStaff; StructureDefinition-date-start-work; StructureDefinition-laboratory-request; StructureDefinition-is-work-for-multi-org; StructureDefinition-administrative-divisi; StructureDefinition-request-intent; StructureDefinition-Patient; StructureDefinition-ImagingStudy; StructureDefinition-outpatient-schedule; StructureDefinition-Hospital; StructureDefinition-Addre; StructureDefinition-medicare-payment; StructureDefinition-Schedule; StructureDefinition-ChineseName; StructureDefinition-request-priority; StructureDefinition-Period; StructureDefinition-Organizati; StructureDefinition-laboratory-specime; StructureDefinition-politic-affiliati; StructureDefinition-Appointment; StructureDefinition-patient-arrive-response; StructureDefinition-ChargeItem; StructureDefinition-Slot
DaVinciUnsolicitedNotifications.tgz,missing mandatory manifest key,,
PoCDImplementationGuide.tgz,passed,hl7.fhir.r4.core,ig-r4; ImplementationGuide-hl7.fhir.uv.pocd; StructureDefinition-SampledData; StructureDefinition-factor; StructureDefinition-EnumerationObservati; StructureDefinition-Patient; StructureDefinition-device-instance; StructureDefinition-VmdDevice; StructureDefinition-absolute-accuracy; StructureDefinition-sweep-speed; StructureDefinition-Observati; StructureDefinition-resoluti; StructureDefinition-visual-grid; StructureDefinition-upper-limit; StructureDefinition-Practitioner; StructureDefinition-ChannelDevice; StructureDefinition-MdsDevice; StructureDefinition-metric-availability; StructureDefinition-SampleArrayObservati; StructureDefinition-SampleArrayDeviceMetric; StructureDefinition-NumericDeviceMetric; StructureDefinition-CompoundNumericObservati; StructureDefinition-distribution-range; StructureDefinition-operating-mode; StructureDefinition-lower-limit; StructureDefinition-operator; StructureDefinition-approved-jurisdicti; StructureDefinition-relative-accuracy; StructureDefinition-operating-cycle; StructureDefinition-relati; StructureDefinition-operating-hour; StructureDefinition-Quantity; StructureDefinition-EnumerationDeviceMetric; StructureDefinition-domain-unit; StructureDefinition-NumericObservati; ValueSet-operating-mode; ValueSet-safety; CodeSystem-metric-availability; ValueSet-11073MDC-object; ValueSet-metric-availability; ValueSet-11073MDC-dimensi; CodeSystem-operating-mode; CodeSystem-measurement-statu; ValueSet-11073MDC-metric; CodeSystem-safety; CodeSystem-kind-of-relati; ValueSet-kind-of-relati; ValueSet-observation-interpretati
HL7ITFhirTerminlogy.tgz,passed,hl7.fhir.r4.core,ig-r4; ImplementationGuide-hl7.fhir.it.terminology; ValueSet-uri-idRegionali; CodeSystem-istat-professioni; ValueSet-istat-provincia; ValueSet-uri-idEni; CodeSystem-it-v3RoleCode; CodeSystem-administrative-gender; CodeSystem-istat-unitaAmministrativeTerritoriali; ValueSet-istat-professione; CodeSystem-minsan-fl; CodeSystem-it-identifier-type; ValueSet-minsan-idAou; ValueSet-oid-ehicPersonalId; ValueSet-minsan-esenzioni; CodeSystem-minsan-regione; ValueSet-tipoCertificatore; CodeSystem-mef-ae-regioni; ValueSet-uri-idStp; CodeSystem-minsan-hsp; ValueSet-iso-ehicCountryCode; ValueSet-minsan-idAsl; ValueSet-istat-luogoNascita; ValueSet-istat-titoloStudi; ValueSet-statoEsenzione; ValueSet-istat-stat; ValueSet-tipoOrgSocioSanitaria; ValueSet-istat-dug; ValueSet-minsan-idAziendeOspedaliere; ValueSet-minsan-regione; ValueSet-istat-comune; CodeSystem-mef-ae-province; ValueSet-minsan-idStruttureInterne; CodeSystem-dug; CodeSystem-istat-ctsi03; ValueSet-istat-regione; ValueSet-statoCivile; CodeSystem-it-tipoEntita; CodeSystem-mef-ae-comuni; ValueSet-uri-ehicPersonalId; ValueSet-uri-idAslRegione; CodeSystem-v3-MaritalStatu; ValueSet-istat-cittadinanza; ValueSet-mmgOrPl; CodeSystem-istat-statoCivile; ValueSet-minsan-idStrutture; ValueSet-tipoIdentificatore; ValueSet-tipoOrganizzazione; ConceptMap-ConceptMap-statoCivile
RIZIV-MedicationRecord.tgz,passed,hl7.fhir.r4.core,ig-r4; ImplementationGuide-hl7.fhir.be.riziv-medicationrecord; StructureDefinition-be-model-medication-record; StructureDefinition-medication-record-document; StructureDefinition-medication-record-batch; ValueSet-be-vs-medication-summary-type; StructureDefinition-medication-compositi; StructureDefinition-medication-indicati; StructureDefinition-medication-treatment-summary; CodeSystem-be-cs-medication-summary-type
DCP.tgz,missing index.json,,
hl7.base.template.tgz,passed,fhir.base.template,README.md; -list; gitignor; fig
